00:15:47.971 | Info | 'Some informational log message' | 
00:28:32.523 | Error | ({}) | 
13:00:39.413 | Error | ({}) | 
13:01:41.120 | Error | ({}) | Service: Internal server error | 
13:05:29.068 | Error | ({}) | Service: Internal server error | 
13:10:50.089 | Error | 'Error fetching seasons | {}' | 
13:11:39.020 | Error | 'Error fetching seasons | {}' | 
13:12:15.298 | Error | 'Error fetching seasons | {}' | 
13:12:38.722 | Error | 'Error fetching seasons | {}' | 
13:14:32.242 | Error | 'Error fetching seasons | {}' | 
13:16:35.131 | Error | 'Error fetching seasons | ReferenceError: season is not defined\n    at seasons (D:\\sportball\\sportball-sample\\controllers\\seasons.js:8:24)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at strategy.pass (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\middleware\\authenticate.js:355:9)\n    at SessionStrategy.authenticate (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\strategies\\session.js:126:10)' | 
13:18:49.551 | Error | 'Error fetching seasons | ReferenceError: season is not defined\n    at seasons (D:\\sportball\\sportball-sample\\controllers\\seasons.js:8:24)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at strategy.pass (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\middleware\\authenticate.js:355:9)\n    at SessionStrategy.authenticate (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\strategies\\session.js:126:10)' | 
14:21:22.601 | Error | 'Error fetching seasons | TypeError: log.Info is not a function\n    at seasons (D:\\sportball\\sportball-sample\\controllers\\seasons.js:13:13)\n    at process.processTicksAndRejections (node:internal/process/task_queues:95:5)' | 
15:40:54.875 | Error | 'Error fetching cities | ReferenceError: citie is not defined\n    at cities (D:\\sportball\\sportball-sample\\controllers\\cities.js:9:20)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at strategy.pass (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\middleware\\authenticate.js:355:9)\n    at SessionStrategy.authenticate (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\strategies\\session.js:126:10)' | 
15:41:06.840 | Error | 'Error fetching cities | ReferenceError: citie is not defined\n    at cities (D:\\sportball\\sportball-sample\\controllers\\cities.js:9:20)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at strategy.pass (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\middleware\\authenticate.js:355:9)\n    at SessionStrategy.authenticate (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\strategies\\session.js:126:10)' | 
15:42:17.771 | Error | 'Error fetching cities | ReferenceError: citie is not defined\n    at cities (D:\\sportball\\sportball-sample\\controllers\\cities.js:9:20)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at strategy.pass (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\middleware\\authenticate.js:355:9)\n    at SessionStrategy.authenticate (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\strategies\\session.js:126:10)' | 
15:48:26.689 | Error | 'Error fetching cities | ReferenceError: citie is not defined\n    at cities (D:\\sportball\\sportball-sample\\controllers\\cities.js:9:20)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:149:13)\n    at Route.dispatch (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\route.js:119:3)\n    at Layer.handle [as handle_request] (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\layer.js:95:5)\n    at D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:284:15\n    at Function.process_params (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:346:12)\n    at next (D:\\sportball\\sportball-sample\\node_modules\\express\\lib\\router\\index.js:280:10)\n    at strategy.pass (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\middleware\\authenticate.js:355:9)\n    at SessionStrategy.authenticate (D:\\sportball\\sportball-sample\\node_modules\\passport\\lib\\strategies\\session.js:126:10)' | 
